2018-02-01 19:27:29,228 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:27:29,228 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:53:30,159 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:53:30,160 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:53:30,160 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:54:23,513 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:54:23,514 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:54:23,514 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:55:22,885 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:55:22,886 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:55:22,886 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:57:08,654 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:57:08,654 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:57:08,654 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:58:50,491 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:58:50,491 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:58:50,491 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:59:24,624 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:59:24,624 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:59:24,624 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 20:14:17,442 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 20:14:17,443 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 20:14:17,443 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 20:27:43,222 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 20:27:43,222 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 20:27:43,222 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-02 10:01:50,769 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:01:50,783 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:01:50,784 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:01:50,784 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:01:50,785 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-02 10:01:50,785 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/en.txt']
2018-02-02 10:02:04,576 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:02:04,576 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:02:04,577 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:02:04,577 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:02:04,577 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-02 10:02:04,577 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/en.txt']
2018-02-02 10:02:11,755 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:02:11,756 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:02:11,756 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-02 10:02:11,756 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-02 10:02:11,756 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
